N° Frame;Accuracy g6
0;0
1;0
2;0
3;84
4;86
5;86
6;87
7;87
8;86
9;86
10;86
11;85
12;80
13;75
14;71
15;72
16;66
17;64
18;59
19;59
20;59
21;59
22;59
23;59
24;59
25;59
26;59
27;59
28;59
29;59
30;59
31;59
32;59
33;59
34;59
35;59
36;59
37;59
38;59
39;59
40;59
41;59
42;59
43;59
44;59
45;59
46;59
47;59
48;59
49;59
50;59
51;59
52;59
53;59
54;59
55;59
56;59
57;59
58;59
59;59
60;59
61;59
62;59
63;59
64;59
65;59
66;59
67;59
68;59
69;59
70;59
71;59
72;59
73;59
74;59
75;59
76;59
77;59
78;59
79;59
80;59
81;59
82;59
83;59
84;59
85;59
86;59
87;59
88;59
89;59
90;59
91;59
92;59
93;59
94;59
95;59
96;59
97;59
98;59
99;59
100;59
101;59
102;59
103;59
104;59
105;59
106;59
107;59
108;59
109;59
110;59
111;59
112;59
113;59
114;59
115;59
116;59
117;59
118;59
119;59
120;59
121;59
122;59
